# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# vendor_id,0x1002
# device_id,0x13c0
# device_type,IntegratedGpu
# device_pci_bus_id,"0000:0e:00.0"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,tracked,16,1048576,8,1024,1024,170,3770,48661,4409843,4348400,16
1,compute-independent,tracked,16,1048576,8,1024,1024,190,3810,48060,4402973,4346400,16
2,compute-independent,tracked,16,1048576,8,1024,1024,170,3810,107921,4416063,4344320,16
3,compute-independent,tracked,16,1048576,8,1024,1024,1240,12840,158491,4466403,4361880,16
4,compute-independent,tracked,16,1048576,8,1024,1024,220,4130,55210,4408543,4347840,16
5,compute-independent,tracked,16,1048576,8,1024,1024,200,3940,50631,4405293,4346200,16
6,compute-independent,tracked,16,1048576,8,1024,1024,200,3800,50980,4403613,4348640,16
7,compute-independent,tracked,16,1048576,8,1024,1024,190,3910,49020,4405413,4350080,16
8,compute-independent,tracked,16,1048576,8,1024,1024,220,3820,48890,4403993,4349120,16
9,compute-independent,tracked,16,1048576,8,1024,1024,210,3900,49681,4407333,4348600,16
10,compute-independent,tracked,16,1048576,8,1024,1024,190,3800,49330,4408103,4353480,16
11,compute-independent,tracked,16,1048576,8,1024,1024,190,3900,49730,4406453,4351600,16
12,compute-independent,tracked,16,1048576,8,1024,1024,180,3860,49820,4409704,4355160,16
13,compute-independent,tracked,16,1048576,8,1024,1024,200,3890,49020,4406933,4352080,16
14,compute-independent,tracked,16,1048576,8,1024,1024,200,3820,49470,4403683,4349120,16
15,compute-independent,tracked,16,1048576,8,1024,1024,200,3820,48980,4406543,4350920,16
16,compute-independent,tracked,16,1048576,8,1024,1024,190,3861,49400,4402643,4347680,16
17,compute-independent,tracked,16,1048576,8,1024,1024,210,3870,48390,4417563,4345480,16
18,compute-independent,tracked,16,1048576,8,1024,1024,200,3910,50000,4407943,4352240,16
19,compute-independent,tracked,16,1048576,8,1024,1024,250,3990,51180,4421874,4351600,16
20,compute-independent,tracked,16,1048576,8,1024,1024,180,3910,49090,4398673,4343960,16
21,compute-independent,tracked,16,1048576,8,1024,1024,200,3900,50460,4407283,4352760,16
22,compute-independent,tracked,16,1048576,8,1024,1024,200,3800,50070,4399743,4345040,16
23,compute-independent,tracked,16,1048576,8,1024,1024,190,3870,50030,4401424,4347720,16
24,compute-independent,tracked,16,1048576,8,1024,1024,190,3860,49000,4407253,4350800,16
25,compute-independent,tracked,16,1048576,8,1024,1024,210,3890,49810,4408273,4353440,16
26,compute-independent,tracked,16,1048576,8,1024,1024,180,3890,49370,4400583,4345440,16
27,compute-independent,tracked,16,1048576,8,1024,1024,200,3880,48500,4408593,4353520,16
28,compute-independent,tracked,16,1048576,8,1024,1024,200,3820,48640,4407243,4352880,16
29,compute-independent,tracked,16,1048576,8,1024,1024,210,3860,48820,4404173,4349400,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
