# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,automatic,16,1048576,8,1024,1024,1470,4230,4210,3896390,3858640,16
1,compute-independent,automatic,16,1048576,8,1024,1024,1450,4400,4730,3901731,3864320,16
2,compute-independent,automatic,16,1048576,8,1024,1024,1440,4320,4260,3913160,3862080,16
3,compute-independent,automatic,16,1048576,8,1024,1024,1450,4460,5250,3907820,3859160,16
4,compute-independent,automatic,16,1048576,8,1024,1024,1470,4200,4160,3903691,3856560,16
5,compute-independent,automatic,16,1048576,8,1024,1024,1450,4390,5670,3907070,3858880,16
6,compute-independent,automatic,16,1048576,8,1024,1024,1430,4280,4110,3908541,3861680,16
7,compute-independent,automatic,16,1048576,8,1024,1024,1440,4270,4360,3907350,3860560,16
8,compute-independent,automatic,16,1048576,8,1024,1024,1440,4260,5590,3911101,3862920,16
9,compute-independent,automatic,16,1048576,8,1024,1024,1490,4380,4180,3936210,3864400,16
10,compute-independent,automatic,16,1048576,8,1024,1024,1470,4160,4020,3907351,3859960,16
11,compute-independent,automatic,16,1048576,8,1024,1024,1410,4520,4520,3911330,3861240,16
12,compute-independent,automatic,16,1048576,8,1024,1024,1400,4520,4510,3904001,3857280,16
13,compute-independent,automatic,16,1048576,8,1024,1024,1420,4470,4080,3910090,3862800,16
14,compute-independent,automatic,16,1048576,8,1024,1024,1370,4170,4150,3906530,3858960,16
15,compute-independent,automatic,16,1048576,8,1024,1024,1430,4470,9700,3909641,3864440,16
16,compute-independent,automatic,16,1048576,8,1024,1024,1470,4140,4390,3905280,3858440,16
17,compute-independent,automatic,16,1048576,8,1024,1024,1440,4430,4190,3904951,3858080,16
18,compute-independent,automatic,16,1048576,8,1024,1024,1440,4340,4020,3905430,3858200,16
19,compute-independent,automatic,16,1048576,8,1024,1024,1430,4370,4230,3910071,3862280,16
20,compute-independent,automatic,16,1048576,8,1024,1024,1410,4260,4170,3914760,3867480,16
21,compute-independent,automatic,16,1048576,8,1024,1024,1440,4450,5890,3914391,3866480,16
22,compute-independent,automatic,16,1048576,8,1024,1024,1440,4370,4150,3912850,3865200,16
23,compute-independent,automatic,16,1048576,8,1024,1024,1420,4380,4320,3906371,3859440,16
24,compute-independent,automatic,16,1048576,8,1024,1024,1420,4410,4380,3904620,3857720,16
25,compute-independent,automatic,16,1048576,8,1024,1024,1420,4300,4540,3906870,3860280,16
26,compute-independent,automatic,16,1048576,8,1024,1024,1620,4420,5610,3908241,3860240,16
27,compute-independent,automatic,16,1048576,8,1024,1024,1410,4340,4310,3906890,3860160,16
28,compute-independent,automatic,16,1048576,8,1024,1024,1460,4290,4360,3903761,3857240,16
29,compute-independent,automatic,16,1048576,8,1024,1024,1440,4310,4400,3907030,3859360,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
