# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,explicit-all,16,1048576,8,1024,1024,1440,4420,4610,3909520,3861520,16
1,compute-independent,explicit-all,16,1048576,8,1024,1024,1410,4710,4420,3916051,3866120,16
2,compute-independent,explicit-all,16,1048576,8,1024,1024,1610,4470,5740,3910550,3861280,16
3,compute-independent,explicit-all,16,1048576,8,1024,1024,1590,4150,4400,3912541,3865200,16
4,compute-independent,explicit-all,16,1048576,8,1024,1024,1650,4510,5660,3907560,3859000,16
5,compute-independent,explicit-all,16,1048576,8,1024,1024,1440,4440,4270,3915001,3867520,16
6,compute-independent,explicit-all,16,1048576,8,1024,1024,1420,4210,4460,3904820,3857760,16
7,compute-independent,explicit-all,16,1048576,8,1024,1024,1430,4310,4360,3911031,3863440,16
8,compute-independent,explicit-all,16,1048576,8,1024,1024,1430,4260,4060,3908060,3860040,16
9,compute-independent,explicit-all,16,1048576,8,1024,1024,1460,4260,4380,3925731,3859360,16
10,compute-independent,explicit-all,16,1048576,8,1024,1024,1410,4550,4120,3909610,3862360,16
11,compute-independent,explicit-all,16,1048576,8,1024,1024,1450,4350,4160,3905260,3857560,16
12,compute-independent,explicit-all,16,1048576,8,1024,1024,1500,4470,5911,3913990,3865520,16
13,compute-independent,explicit-all,16,1048576,8,1024,1024,1440,4160,4040,3906770,3858520,16
14,compute-independent,explicit-all,16,1048576,8,1024,1024,1440,4220,4240,3907760,3859960,16
15,compute-independent,explicit-all,16,1048576,8,1024,1024,1430,4490,4170,3906840,3858280,16
16,compute-independent,explicit-all,16,1048576,8,1024,1024,1540,4300,4070,3906411,3858760,16
17,compute-independent,explicit-all,16,1048576,8,1024,1024,1410,4510,4030,3908060,3860280,16
18,compute-independent,explicit-all,16,1048576,8,1024,1024,1440,4450,4770,3916511,3865760,16
19,compute-independent,explicit-all,16,1048576,8,1024,1024,1440,4340,4710,3911180,3861840,16
20,compute-independent,explicit-all,16,1048576,8,1024,1024,1480,4420,5040,3912461,3864040,16
21,compute-independent,explicit-all,16,1048576,8,1024,1024,1420,4410,5930,3904040,3855320,16
22,compute-independent,explicit-all,16,1048576,8,1024,1024,1420,4350,4240,3911940,3864080,16
23,compute-independent,explicit-all,16,1048576,8,1024,1024,1440,4470,5910,3930621,3864280,16
24,compute-independent,explicit-all,16,1048576,8,1024,1024,1460,4430,4420,3905071,3862280,16
25,compute-independent,explicit-all,16,1048576,8,1024,1024,1420,4400,4320,3903360,3860080,16
26,compute-independent,explicit-all,16,1048576,8,1024,1024,1440,4420,4390,3910941,3863040,16
27,compute-independent,explicit-all,16,1048576,8,1024,1024,1450,4490,4650,3906440,3859640,16
28,compute-independent,explicit-all,16,1048576,8,1024,1024,1480,4510,4140,3912280,3864360,16
29,compute-independent,explicit-all,16,1048576,8,1024,1024,1450,4420,4270,3905711,3858360,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
