# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1430,12420,4770,4472254,4421960,16
1,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1450,12660,4720,4474903,4424160,16
2,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1450,12480,5000,4473984,4419960,16
3,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,2980,18800,6680,4468523,4419280,16
4,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1390,12590,5070,4471734,4420680,16
5,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1570,12520,4660,4472023,4421680,16
6,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1550,12680,4650,4471393,4420640,16
7,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1430,12781,4680,4473263,4422520,16
8,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1470,12550,5020,4473173,4422920,16
9,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1480,12630,4680,4470814,4419760,16
10,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1380,12810,4970,4471863,4421160,16
11,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1440,12530,4620,4472444,4421920,16
12,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1410,12770,5480,4468423,4417920,16
13,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1520,12660,4670,4474954,4424000,16
14,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1540,12630,4680,4472153,4421520,16
15,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1430,12540,4890,4471783,4421160,16
16,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1480,12510,4590,4472684,4422400,16
17,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1480,12430,4880,4472653,4421960,16
18,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1450,12500,4760,4470354,4419880,16
19,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1450,12290,4650,4471923,4421200,16
20,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1450,12530,4950,4472564,4422200,16
21,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1550,12600,5180,4472963,4422920,16
22,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1480,12370,4700,4472813,4422120,16
23,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1420,12710,4940,4472314,4421800,16
24,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1400,12580,4910,4472163,4422560,16
25,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1450,12510,4750,4472224,4421960,16
26,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1440,12640,5240,4471553,4420880,16
27,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1450,12710,4900,4474244,4423880,16
28,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1550,12580,4710,4472053,4421600,16
29,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1480,12380,4990,4475393,4424680,16
# validation_hash,fnv1a64:de1814328067f325
