# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,automatic,16,1048576,8,1024,1024,1400,12700,4800,4473093,4422560,16
1,graphics-chain,automatic,16,1048576,8,1024,1024,1480,13180,4880,4476114,4425640,16
2,graphics-chain,automatic,16,1048576,8,1024,1024,1360,12790,4890,4471513,4421160,16
3,graphics-chain,automatic,16,1048576,8,1024,1024,1480,12960,4740,4472633,4422120,16
4,graphics-chain,automatic,16,1048576,8,1024,1024,2070,15871,7340,4472243,4421600,16
5,graphics-chain,automatic,16,1048576,8,1024,1024,1860,12970,5020,4472513,4422480,16
6,graphics-chain,automatic,16,1048576,8,1024,1024,1370,12900,4730,4471404,4421240,16
7,graphics-chain,automatic,16,1048576,8,1024,1024,1450,12960,4940,4471783,4421560,16
8,graphics-chain,automatic,16,1048576,8,1024,1024,1350,12780,4780,4472324,4422160,16
9,graphics-chain,automatic,16,1048576,8,1024,1024,1800,13310,5300,4472243,4422120,16
10,graphics-chain,automatic,16,1048576,8,1024,1024,1400,12990,5100,4477304,4427040,16
11,graphics-chain,automatic,16,1048576,8,1024,1024,1670,13180,4610,4468783,4420920,16
12,graphics-chain,automatic,16,1048576,8,1024,1024,1360,13280,5050,4470113,4419560,16
13,graphics-chain,automatic,16,1048576,8,1024,1024,1460,12981,4910,4474163,4424000,16
14,graphics-chain,automatic,16,1048576,8,1024,1024,1400,12960,4910,4472483,4422240,16
15,graphics-chain,automatic,16,1048576,8,1024,1024,1480,13050,5060,4472434,4421960,16
16,graphics-chain,automatic,16,1048576,8,1024,1024,1590,12720,4720,4470213,4419960,16
17,graphics-chain,automatic,16,1048576,8,1024,1024,1430,13120,4690,4472934,4422680,16
18,graphics-chain,automatic,16,1048576,8,1024,1024,1380,12740,4710,4472353,4421720,16
19,graphics-chain,automatic,16,1048576,8,1024,1024,1470,13030,4810,4470974,4421000,16
20,graphics-chain,automatic,16,1048576,8,1024,1024,1340,12970,4700,4472153,4422000,16
21,graphics-chain,automatic,16,1048576,8,1024,1024,1430,13080,5410,4473473,4423120,16
22,graphics-chain,automatic,16,1048576,8,1024,1024,1470,12880,4860,4474064,4423640,16
23,graphics-chain,automatic,16,1048576,8,1024,1024,1450,13060,4760,4472653,4422240,16
24,graphics-chain,automatic,16,1048576,8,1024,1024,1370,12870,4750,4471714,4421360,16
25,graphics-chain,automatic,16,1048576,8,1024,1024,1410,13120,4750,4472413,4421880,16
26,graphics-chain,automatic,16,1048576,8,1024,1024,1360,12800,4540,4471034,4421680,16
27,graphics-chain,automatic,16,1048576,8,1024,1024,1410,12980,4680,4471603,4421600,16
28,graphics-chain,automatic,16,1048576,8,1024,1024,1390,12800,4720,4471823,4421280,16
29,graphics-chain,automatic,16,1048576,8,1024,1024,1430,12850,4690,4472174,4421120,16
# validation_hash,fnv1a64:de1814328067f325
