# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,explicit-all,16,1048576,8,1024,1024,1420,12660,4720,4464883,4419280,16
1,graphics-chain,explicit-all,16,1048576,8,1024,1024,1340,12690,4710,4466493,4421000,16
2,graphics-chain,explicit-all,16,1048576,8,1024,1024,1350,12730,4770,4471654,4421800,16
3,graphics-chain,explicit-all,16,1048576,8,1024,1024,1380,12580,4690,4456833,4417120,16
4,graphics-chain,explicit-all,16,1048576,8,1024,1024,2650,25000,7630,4459453,4418040,16
5,graphics-chain,explicit-all,16,1048576,8,1024,1024,1360,12630,5050,4466924,4417680,16
6,graphics-chain,explicit-all,16,1048576,8,1024,1024,1210,12650,4800,4458443,4420000,16
7,graphics-chain,explicit-all,16,1048576,8,1024,1024,2361,19950,6330,4468773,4424360,16
8,graphics-chain,explicit-all,16,1048576,8,1024,1024,3770,22010,9540,4461173,4422000,16
9,graphics-chain,explicit-all,16,1048576,8,1024,1024,1290,12680,4720,4456153,4419720,16
10,graphics-chain,explicit-all,16,1048576,8,1024,1024,1500,13091,5350,4471373,4422680,16
11,graphics-chain,explicit-all,16,1048576,8,1024,1024,1380,12800,5440,4467213,4423040,16
12,graphics-chain,explicit-all,16,1048576,8,1024,1024,3601,24200,13320,4454093,4416240,16
13,graphics-chain,explicit-all,16,1048576,8,1024,1024,1730,13470,5760,4455433,4416880,16
14,graphics-chain,explicit-all,16,1048576,8,1024,1024,1400,12870,5200,4462834,4421760,16
15,graphics-chain,explicit-all,16,1048576,8,1024,1024,2680,20740,11050,4460983,4418280,16
16,graphics-chain,explicit-all,16,1048576,8,1024,1024,1650,13200,5030,4461313,4423560,16
17,graphics-chain,explicit-all,16,1048576,8,1024,1024,1350,15010,4930,4458834,4420600,16
18,graphics-chain,explicit-all,16,1048576,8,1024,1024,1340,12660,5070,4469433,4420440,16
19,graphics-chain,explicit-all,16,1048576,8,1024,1024,1440,12810,4750,4474134,4424000,16
20,graphics-chain,explicit-all,16,1048576,8,1024,1024,1330,12730,5060,4473323,4423200,16
21,graphics-chain,explicit-all,16,1048576,8,1024,1024,1320,13020,6000,4474034,4423920,16
22,graphics-chain,explicit-all,16,1048576,8,1024,1024,1350,12640,5060,4472603,4422680,16
23,graphics-chain,explicit-all,16,1048576,8,1024,1024,1380,13200,5390,4471623,4421640,16
24,graphics-chain,explicit-all,16,1048576,8,1024,1024,1640,12710,4970,4468604,4418520,16
25,graphics-chain,explicit-all,16,1048576,8,1024,1024,1330,12820,5210,4471233,4421360,16
26,graphics-chain,explicit-all,16,1048576,8,1024,1024,1310,12650,5330,4471334,4421520,16
27,graphics-chain,explicit-all,16,1048576,8,1024,1024,1350,12690,4930,4472743,4422560,16
28,graphics-chain,explicit-all,16,1048576,8,1024,1024,1350,12750,5110,4486174,4421760,16
29,graphics-chain,explicit-all,16,1048576,8,1024,1024,1470,12790,5050,4474113,4424240,16
# validation_hash,fnv1a64:de1814328067f325
