# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1430,12460,4850,4471644,4421840,16
1,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1490,12660,5010,4471773,4421760,16
2,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1410,12500,5020,4474504,4424720,16
3,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1460,12330,4820,4457303,4419520,16
4,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,2290,19550,6830,4468723,4421080,16
5,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1620,12710,5040,4471983,4422120,16
6,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1490,12650,4850,4470533,4421520,16
7,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1490,12460,4980,4472514,4422560,16
8,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1680,12430,4730,4471313,4421640,16
9,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1310,12520,5130,4469944,4420720,16
10,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1410,12490,4720,4472023,4422680,16
11,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1440,12630,4820,4471404,4422240,16
12,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1420,12830,5130,4472463,4423040,16
13,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1600,19440,5340,4480753,4419120,16
14,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1420,12510,4881,4470793,4421320,16
15,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1530,13070,5020,4471313,4421880,16
16,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1480,12470,5110,4472294,4422320,16
17,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1520,13030,4960,4470813,4420920,16
18,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1460,12550,4780,4472424,4422760,16
19,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1380,12490,4930,4475353,4425880,16
20,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1430,12740,4860,4470383,4420840,16
21,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1440,12581,5450,4471153,4421680,16
22,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1550,12330,4980,4471803,4422320,16
23,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1450,12530,4850,4470424,4420920,16
24,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1460,12390,4900,4493983,4424240,16
25,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1400,12360,4800,4470764,4421200,16
26,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1520,12350,4890,4471263,4421520,16
27,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1540,12510,5000,4470524,4420880,16
28,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1430,12730,4850,4466713,4418280,16
29,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1530,12270,5040,4474204,4424480,16
# validation_hash,fnv1a64:de1814328067f325
