# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,2230,29650,6850,5372358,5316160,16
1,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1520,25740,5300,5366278,5315800,16
2,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1530,25170,4920,5365458,5315240,16
3,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1461,24660,4850,5366977,5316000,16
4,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1460,24921,4830,5365398,5315320,16
5,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1420,25510,4940,5366368,5316160,16
6,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1470,25340,4850,5367448,5317080,16
7,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1440,25340,4860,5365508,5315080,16
8,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1450,25040,4930,5364408,5314160,16
9,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1490,25330,4931,5397398,5315400,16
10,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1490,25340,4820,5366848,5316440,16
11,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1470,24860,4830,5366558,5316200,16
12,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1500,25470,5110,5365998,5315720,16
13,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1500,29131,6350,5369567,5318200,16
14,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1490,25271,4810,5367257,5317080,16
15,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1430,25321,4910,5365708,5315840,16
16,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1480,25340,4890,5365768,5315360,16
17,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1480,25140,4840,5366328,5316040,16
18,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1480,29420,45960,5367949,5315960,16
19,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,7670,47420,17870,5385518,5317320,16
20,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,3000,33450,11090,5369788,5316920,16
21,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,4530,51871,15950,5382178,5316520,16
22,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1450,25190,5160,5367278,5316360,16
23,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1440,25290,5110,5369198,5318920,16
24,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1410,25260,4880,5366358,5315320,16
25,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1390,25420,4790,5367358,5315440,16
26,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1440,24670,4891,5365488,5315520,16
27,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1400,24990,4930,5367228,5316520,16
28,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1390,25380,4830,5366938,5316680,16
29,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1490,25360,4850,5365768,5315480,16
# validation_hash,fnv1a64:161975f4e03e1a92
