# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1520,9141,4340,4223092,4173040,16
1,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1520,9040,4950,4220342,4170120,16
2,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1510,8990,4450,4238592,4199040,16
3,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,3080,22920,8990,4224002,4174480,16
4,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,2370,17980,7570,4226323,4175440,16
5,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1670,9300,4770,4222031,4171720,16
6,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1560,8911,4970,4222232,4171160,16
7,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1510,9100,4460,4222612,4171400,16
8,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1490,8880,4460,4224142,4172160,16
9,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1540,9000,4810,4219232,4168240,16
10,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1520,9190,4550,4221982,4170720,16
11,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1530,9070,4450,4222202,4171000,16
12,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1530,9000,4420,4243222,4173960,16
13,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,10720,42311,32520,4225032,4171520,16
14,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,3400,13680,10090,4228082,4177800,16
15,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1800,9670,5230,4226382,4175600,16
16,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1550,9060,4680,4225092,4174040,16
17,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1530,9160,4910,4224713,4174200,16
18,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1540,9030,4570,4229392,4177760,16
19,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1630,8990,4530,4223402,4172320,16
20,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1520,8940,5070,4222522,4171600,16
21,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1530,8920,4670,4225232,4174160,16
22,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1560,9000,4850,4231372,4181040,16
23,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1620,8910,4560,4228022,4176720,16
24,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1520,9090,4641,4224061,4173000,16
25,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1530,8830,4630,4228603,4176800,16
26,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1580,8850,4530,4222772,4171360,16
27,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1720,8980,4640,4227562,4176480,16
28,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1520,8860,4560,4223512,4172360,16
29,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1560,8930,4570,4225552,4174040,16
# validation_hash,fnv1a64:d723cf861be8a15e
