# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,automatic,16,1048576,8,1024,1024,1530,9080,5230,4223092,4175600,16
1,mixed-chain,automatic,16,1048576,8,1024,1024,1580,9000,5280,4222532,4174800,16
2,mixed-chain,automatic,16,1048576,8,1024,1024,1510,9180,5150,4220352,4172840,16
3,mixed-chain,automatic,16,1048576,8,1024,1024,1520,9170,4780,4218342,4170560,16
4,mixed-chain,automatic,16,1048576,8,1024,1024,1490,8980,4830,4225432,4177880,16
5,mixed-chain,automatic,16,1048576,8,1024,1024,1840,10060,4950,4228782,4189720,16
6,mixed-chain,automatic,16,1048576,8,1024,1024,4010,20991,13100,4233252,4175160,16
7,mixed-chain,automatic,16,1048576,8,1024,1024,2320,10900,6300,4220422,4170160,16
8,mixed-chain,automatic,16,1048576,8,1024,1024,1600,9310,4800,4227962,4175880,16
9,mixed-chain,automatic,16,1048576,8,1024,1024,1520,9070,4460,4216432,4167520,16
10,mixed-chain,automatic,16,1048576,8,1024,1024,1520,9050,4710,4227082,4174920,16
11,mixed-chain,automatic,16,1048576,8,1024,1024,1380,9160,4760,4220072,4172360,16
12,mixed-chain,automatic,16,1048576,8,1024,1024,1460,9090,4670,4222573,4173800,16
13,mixed-chain,automatic,16,1048576,8,1024,1024,1680,9680,5380,4217561,4175680,16
14,mixed-chain,automatic,16,1048576,8,1024,1024,1941,10160,6040,4219632,4184920,16
15,mixed-chain,automatic,16,1048576,8,1024,1024,2040,9250,5080,4236112,4185240,16
16,mixed-chain,automatic,16,1048576,8,1024,1024,1570,9080,4810,4218482,4182240,16
17,mixed-chain,automatic,16,1048576,8,1024,1024,2010,8990,4880,4219012,4171080,16
18,mixed-chain,automatic,16,1048576,8,1024,1024,1530,9110,4750,4214352,4166840,16
19,mixed-chain,automatic,16,1048576,8,1024,1024,1690,9070,4750,4235682,4180080,16
20,mixed-chain,automatic,16,1048576,8,1024,1024,1490,9230,5140,4232773,4181560,16
21,mixed-chain,automatic,16,1048576,8,1024,1024,1490,9180,4850,4230262,4183800,16
22,mixed-chain,automatic,16,1048576,8,1024,1024,1470,9130,4630,4226962,4178760,16
23,mixed-chain,automatic,16,1048576,8,1024,1024,1680,8940,4630,4223042,4175920,16
24,mixed-chain,automatic,16,1048576,8,1024,1024,1540,8940,5030,4222472,4172880,16
25,mixed-chain,automatic,16,1048576,8,1024,1024,1610,9220,4900,4226942,4177040,16
26,mixed-chain,automatic,16,1048576,8,1024,1024,1500,9010,4940,4220852,4170960,16
27,mixed-chain,automatic,16,1048576,8,1024,1024,1760,9881,6500,4225561,4175800,16
28,mixed-chain,automatic,16,1048576,8,1024,1024,1560,9080,4890,4215763,4166360,16
29,mixed-chain,automatic,16,1048576,8,1024,1024,1460,8990,5190,4227462,4177280,16
# validation_hash,fnv1a64:d723cf861be8a15e
