# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,automatic,16,1048576,8,1024,1024,1380,14880,5120,4653074,4603280,16
1,mixed-independent,automatic,16,1048576,8,1024,1024,1420,15210,4900,4649334,4599040,16
2,mixed-independent,automatic,16,1048576,8,1024,1024,1640,15270,7180,4650015,4602360,16
3,mixed-independent,automatic,16,1048576,8,1024,1024,1540,14920,4850,4650164,4600320,16
4,mixed-independent,automatic,16,1048576,8,1024,1024,1390,14731,4860,4652514,4602280,16
5,mixed-independent,automatic,16,1048576,8,1024,1024,1410,14970,5100,4653054,4602920,16
6,mixed-independent,automatic,16,1048576,8,1024,1024,1380,14790,4950,4653464,4603440,16
7,mixed-independent,automatic,16,1048576,8,1024,1024,1410,14910,4741,4646544,4596920,16
8,mixed-independent,automatic,16,1048576,8,1024,1024,1450,15090,4850,4653564,4603640,16
9,mixed-independent,automatic,16,1048576,8,1024,1024,1370,15070,4390,4657945,4599880,16
10,mixed-independent,automatic,16,1048576,8,1024,1024,1400,14980,4800,4658064,4607680,16
11,mixed-independent,automatic,16,1048576,8,1024,1024,1480,15410,4720,4646375,4596240,16
12,mixed-independent,automatic,16,1048576,8,1024,1024,1400,15250,4790,4653704,4603720,16
13,mixed-independent,automatic,16,1048576,8,1024,1024,1470,15030,4910,4647024,4605240,16
14,mixed-independent,automatic,16,1048576,8,1024,1024,1400,14770,4960,4654595,4604480,16
15,mixed-independent,automatic,16,1048576,8,1024,1024,1390,14970,4740,4654154,4603880,16
16,mixed-independent,automatic,16,1048576,8,1024,1024,1580,14780,5050,4653564,4603640,16
17,mixed-independent,automatic,16,1048576,8,1024,1024,1390,14941,4730,4652134,4601960,16
18,mixed-independent,automatic,16,1048576,8,1024,1024,1630,14750,4620,4652884,4602720,16
19,mixed-independent,automatic,16,1048576,8,1024,1024,1530,14720,4630,4651605,4601840,16
20,mixed-independent,automatic,16,1048576,8,1024,1024,1370,15360,5110,4649224,4598840,16
21,mixed-independent,automatic,16,1048576,8,1024,1024,1500,15070,4770,4654774,4604520,16
22,mixed-independent,automatic,16,1048576,8,1024,1024,1400,14860,4650,4655165,4605120,16
23,mixed-independent,automatic,16,1048576,8,1024,1024,1440,15020,4780,4656294,4606120,16
24,mixed-independent,automatic,16,1048576,8,1024,1024,1380,14920,4820,4653325,4603000,16
25,mixed-independent,automatic,16,1048576,8,1024,1024,1390,14610,4820,4653304,4603000,16
26,mixed-independent,automatic,16,1048576,8,1024,1024,1410,15250,4780,4654464,4604320,16
27,mixed-independent,automatic,16,1048576,8,1024,1024,1390,15230,4760,4654765,4604960,16
28,mixed-independent,automatic,16,1048576,8,1024,1024,1430,15260,4920,4662334,4604880,16
29,mixed-independent,automatic,16,1048576,8,1024,1024,1410,14880,5120,4648014,4597200,16
# validation_hash,fnv1a64:bed1d5e4700d559c
