# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1420,14960,4810,4649624,4599040,16
1,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,2300,17670,6380,4650003,4599680,16
2,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1880,14651,5070,4653964,4603760,16
3,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1330,15010,5040,4655304,4605240,16
4,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1420,14810,5000,4654625,4604480,16
5,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1400,14850,4900,4649714,4608560,16
6,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,2180,18660,7180,4655245,4615600,16
7,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1560,14560,5040,4669294,4595560,16
8,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1390,14670,5020,4653584,4604600,16
9,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1430,14721,4840,4653014,4602680,16
10,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1340,15020,4710,4655944,4605320,16
11,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1360,14580,5190,4648355,4598040,16
12,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1430,14840,4980,4653004,4602840,16
13,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1580,14580,5070,4658285,4603120,16
14,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1340,14730,4810,4650274,4599840,16
15,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1430,14770,4720,4647884,4597880,16
16,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1400,14870,4750,4645935,4596080,16
17,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1370,16950,4830,4648094,4598240,16
18,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1360,14580,4760,4656774,4606520,16
19,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1350,14610,4690,4648015,4597480,16
20,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1410,14520,5120,4652444,4602720,16
21,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1400,14840,4940,4651314,4600600,16
22,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1420,14591,4710,4651044,4601280,16
23,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1340,15050,4870,4655424,4605120,16
24,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1360,14650,4710,4654275,4603960,16
25,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1360,14650,4730,4655464,4605120,16
26,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1360,14550,4940,4653594,4603200,16
27,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1340,14730,4370,4650075,4601320,16
28,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1380,14740,4690,4650934,4600280,16
29,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1330,14510,4720,4652945,4602680,16
# validation_hash,fnv1a64:bed1d5e4700d559c
