# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# vendor_id,0x1002
# device_id,0x13c0
# device_type,IntegratedGpu
# device_pci_bus_id,"0000:0e:00.0"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,tracked,16,1048576,8,1024,1024,190,6120,67171,4316023,4242720,16
1,graphics-chain,tracked,16,1048576,8,1024,1024,210,6090,67750,4317162,4243440,16
2,graphics-chain,tracked,16,1048576,8,1024,1024,190,6050,70941,4305302,4240200,16
3,graphics-chain,tracked,16,1048576,8,1024,1024,310,7250,92751,4303942,4242760,16
4,graphics-chain,tracked,16,1048576,8,1024,1024,170,6160,67740,4302603,4242320,16
5,graphics-chain,tracked,16,1048576,8,1024,1024,210,6140,68631,4315882,4242800,16
6,graphics-chain,tracked,16,1048576,8,1024,1024,180,6190,67210,4317103,4244240,16
7,graphics-chain,tracked,16,1048576,8,1024,1024,200,6070,67430,4320573,4245040,16
8,graphics-chain,tracked,16,1048576,8,1024,1024,210,6090,66590,4307533,4243520,16
9,graphics-chain,tracked,16,1048576,8,1024,1024,200,6150,68200,4319563,4244800,16
10,graphics-chain,tracked,16,1048576,8,1024,1024,200,6320,70480,4322493,4247480,16
11,graphics-chain,tracked,16,1048576,8,1024,1024,220,6080,67490,4338023,4245760,16
12,graphics-chain,tracked,16,1048576,8,1024,1024,190,6110,67600,4316642,4240520,16
13,graphics-chain,tracked,16,1048576,8,1024,1024,190,6090,67321,4312112,4239040,16
14,graphics-chain,tracked,16,1048576,8,1024,1024,210,6110,67351,4317542,4243880,16
15,graphics-chain,tracked,16,1048576,8,1024,1024,210,6020,68161,4317412,4243280,16
16,graphics-chain,tracked,16,1048576,8,1024,1024,190,6150,66591,4309132,4245800,16
17,graphics-chain,tracked,16,1048576,8,1024,1024,180,6080,67220,4320003,4246520,16
18,graphics-chain,tracked,16,1048576,8,1024,1024,200,6170,67430,4317093,4243760,16
19,graphics-chain,tracked,16,1048576,8,1024,1024,190,6020,66420,4319053,4244560,16
20,graphics-chain,tracked,16,1048576,8,1024,1024,200,9750,66930,4319933,4245720,16
21,graphics-chain,tracked,16,1048576,8,1024,1024,180,6020,66550,4335633,4244480,16
22,graphics-chain,tracked,16,1048576,8,1024,1024,200,6260,67880,4317763,4244080,16
23,graphics-chain,tracked,16,1048576,8,1024,1024,200,6080,67250,4316723,4243120,16
24,graphics-chain,tracked,16,1048576,8,1024,1024,190,6070,66880,4305893,4243160,16
25,graphics-chain,tracked,16,1048576,8,1024,1024,190,6030,72920,4314762,4245280,16
26,graphics-chain,tracked,16,1048576,8,1024,1024,210,6040,69271,4315022,4240480,16
27,graphics-chain,tracked,16,1048576,8,1024,1024,270,6270,71601,4321962,4245560,16
28,graphics-chain,tracked,16,1048576,8,1024,1024,190,6300,68461,4318512,4243920,16
29,graphics-chain,tracked,16,1048576,8,1024,1024,200,6000,65831,4308382,4243960,16
# validation_hash,fnv1a64:de1814328067f325
