# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# vendor_id,0x1002
# device_id,0x13c0
# device_type,IntegratedGpu
# device_pci_bus_id,"0000:0e:00.0"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,tracked,16,1048576,8,1024,1024,190,6040,75111,4320112,4257600,16
1,graphics-independent,tracked,16,1048576,8,1024,1024,230,6340,77751,4323242,4257800,16
2,graphics-independent,tracked,16,1048576,8,1024,1024,230,6210,74900,4321823,4258200,16
3,graphics-independent,tracked,16,1048576,8,1024,1024,200,6250,75350,4322773,4258400,16
4,graphics-independent,tracked,16,1048576,8,1024,1024,200,6140,74780,4321513,4257520,16
5,graphics-independent,tracked,16,1048576,8,1024,1024,200,6190,77190,4325633,4260440,16
6,graphics-independent,tracked,16,1048576,8,1024,1024,210,6190,77570,4325493,4260560,16
7,graphics-independent,tracked,16,1048576,8,1024,1024,200,6210,74801,4321872,4257680,16
8,graphics-independent,tracked,16,1048576,8,1024,1024,190,6030,74460,4323063,4257520,16
9,graphics-independent,tracked,16,1048576,8,1024,1024,210,6190,74721,4323742,4257840,16
10,graphics-independent,tracked,16,1048576,8,1024,1024,200,6130,75080,4323563,4257920,16
11,graphics-independent,tracked,16,1048576,8,1024,1024,210,6180,74560,4323803,4257280,16
12,graphics-independent,tracked,16,1048576,8,1024,1024,220,6100,74820,4323483,4258000,16
13,graphics-independent,tracked,16,1048576,8,1024,1024,210,6080,74530,4317893,4252120,16
14,graphics-independent,tracked,16,1048576,8,1024,1024,200,6230,78450,4323503,4259960,16
15,graphics-independent,tracked,16,1048576,8,1024,1024,200,6270,75820,4338603,4260080,16
16,graphics-independent,tracked,16,1048576,8,1024,1024,200,6150,75241,4332892,4258480,16
17,graphics-independent,tracked,16,1048576,8,1024,1024,210,6260,75250,4329063,4253040,16
18,graphics-independent,tracked,16,1048576,8,1024,1024,210,6150,73940,4339463,4262920,16
19,graphics-independent,tracked,16,1048576,8,1024,1024,200,6210,75380,4333423,4257080,16
20,graphics-independent,tracked,16,1048576,8,1024,1024,210,6140,74561,4337532,4259960,16
21,graphics-independent,tracked,16,1048576,8,1024,1024,200,6110,79400,4336453,4256880,16
22,graphics-independent,tracked,16,1048576,8,1024,1024,210,6050,74951,4331352,4257560,16
23,graphics-independent,tracked,16,1048576,8,1024,1024,210,6240,75221,4334212,4260040,16
24,graphics-independent,tracked,16,1048576,8,1024,1024,190,6110,74881,4335142,4258320,16
25,graphics-independent,tracked,16,1048576,8,1024,1024,200,6110,75301,4336892,4261320,16
26,graphics-independent,tracked,16,1048576,8,1024,1024,220,6090,151951,4341083,4260320,16
27,graphics-independent,tracked,16,1048576,8,1024,1024,1220,18530,226791,4390683,4272160,16
28,graphics-independent,tracked,16,1048576,8,1024,1024,340,8010,100941,4337242,4257720,16
29,graphics-independent,tracked,16,1048576,8,1024,1024,290,7981,99100,4341542,4257720,16
# validation_hash,fnv1a64:161975f4e03e1a92
